uniqueid,country,year,location_type,cellphone_access,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,household_size,age_of_respondent,bank_account
uniqueid_69,Kenya,2018,Urban,No,Female,Child,Single/Never Married,Primary education,Informally employed,5,28,0
uniqueid_70,Kenya,2018,Urban,Yes,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,1,30,1
uniqueid_71,Kenya,2018,Rural,Yes,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,2,59,0
uniqueid_72,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Informally employed,5,29,0
uniqueid_73,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,4,31,0
uniqueid_74,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,3,27,0
uniqueid_75,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,4,55,1
uniqueid_76,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,34,0
uniqueid_77,Kenya,2018,Urban,No,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,4,17,0
uniqueid_78,Kenya,2018,Urban,No,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed,3,21,0
uniqueid_79,Kenya,2018,Urban,Yes,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,5,37,0
uniqueid_80,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,4,42,0
uniqueid_81,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,8,40,0
uniqueid_82,Kenya,2018,Rural,No,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,4,17,0
uniqueid_83,Kenya,2018,Urban,No,Female,Spouse,Married/Living together,No formal education,Informally employed,4,65,0
uniqueid_84,Kenya,2018,Rural,Yes,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,7,18,0
uniqueid_85,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,3,34,0
uniqueid_86,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,4,46,0
uniqueid_87,Kenya,2018,Urban,Yes,Male,Head of Household,Single/Never Married,Primary education,Informally employed,1,54,1
uniqueid_88,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Primary education,Informally employed,4,27,0
uniqueid_89,Kenya,2018,Rural,Yes,Female,Child,Single/Never Married,Primary education,Informally employed,4,21,0
uniqueid_90,Kenya,2018,Rural,No,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,4,64,0
uniqueid_91,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,3,56,0
uniqueid_92,Kenya,2018,Rural,No,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,6,40,0
uniqueid_93,Kenya,2018,Urban,Yes,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent,10,21,1
uniqueid_94,Kenya,2018,Rural,Yes,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,9,18,0
uniqueid_95,Kenya,2018,Rural,Yes,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,1,42,1
uniqueid_96,Kenya,2018,Rural,No,Male,Child,Single/Never Married,Primary education,Remittance Dependent,2,22,0
uniqueid_97,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Informally employed,8,52,0
uniqueid_98,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Primary education,Informally employed,6,35,0
uniqueid_99,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Remittance Dependent,2,64,0
uniqueid_100,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,5,42,1
uniqueid_101,Kenya,2018,Urban,Yes,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private,10,23,0
uniqueid_102,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,1,42,0
uniqueid_103,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,2,27,0
uniqueid_104,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,2,43,0
uniqueid_105,Kenya,2018,Urban,No,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,4,16,1
uniqueid_106,Kenya,2018,Urban,Yes,Male,Other relative,Single/Never Married,Secondary education,Informally employed,4,26,1
uniqueid_107,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Informally employed,4,19,0
uniqueid_108,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,6,49,1
uniqueid_109,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,No formal education,Self employed,9,44,0
uniqueid_110,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Primary education,Self employed,1,30,0
uniqueid_111,Kenya,2018,Rural,No,Female,Child,Single/Never Married,Primary education,Remittance Dependent,3,16,0
uniqueid_112,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,7,50,0
uniqueid_113,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,2,30,0
uniqueid_114,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Primary education,Self employed,5,49,0
uniqueid_115,Kenya,2018,Rural,No,Female,Parent,Widowed,No formal education,Remittance Dependent,8,72,0
uniqueid_116,Kenya,2018,Rural,Yes,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,4,18,0
uniqueid_117,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,2,21,0
uniqueid_118,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,9,52,0
uniqueid_119,Kenya,2018,Rural,Yes,Male,Child,Married/Living together,Secondary education,Farming and Fishing,4,55,1
uniqueid_120,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,5,35,0
uniqueid_121,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,6,38,0
uniqueid_122,Kenya,2018,Rural,Yes,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,6,19,0
uniqueid_123,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Tertiary education,Self employed,7,53,1
uniqueid_124,Kenya,2018,Urban,No,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,2,17,0
uniqueid_125,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Primary education,Informally employed,5,29,0
uniqueid_126,Kenya,2018,Rural,Yes,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,1,24,1
uniqueid_127,Kenya,2018,Urban,Yes,Male,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,7,63,0
uniqueid_128,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent,2,47,0
uniqueid_129,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government,4,42,1
uniqueid_130,Kenya,2018,Rural,No,Male,Child,Single/Never Married,Secondary education,Informally employed,3,17,0
uniqueid_131,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,28,1
uniqueid_132,Kenya,2018,Urban,Yes,Male,Head of Household,Widowed,Primary education,Informally employed,7,62,0
uniqueid_133,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Informally employed,2,52,0
uniqueid_134,Kenya,2018,Rural,Yes,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,3,44,0
uniqueid_135,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,No formal education,Self employed,6,28,0
uniqueid_136,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,4,30,1
uniqueid_137,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,39,1
uniqueid_138,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,4,81,0
uniqueid_139,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Farming and Fishing,1,62,1
uniqueid_140,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Self employed,3,78,0
uniqueid_141,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Primary education,Self employed,2,28,0
uniqueid_142,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Formally employed Government,4,28,0
uniqueid_143,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Farming and Fishing,5,39,0
uniqueid_144,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,8,42,0
uniqueid_145,Kenya,2018,Rural,No,Male,Child,Single/Never Married,Primary education,Remittance Dependent,6,17,0
uniqueid_146,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,6,50,0
uniqueid_147,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Self employed,4,25,0
uniqueid_148,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,6,34,1
uniqueid_149,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,5,33,0
uniqueid_150,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,3,26,1
uniqueid_151,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,8,36,0
uniqueid_152,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,No formal education,Farming and Fishing,4,78,0
uniqueid_153,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,5,36,1
uniqueid_154,Kenya,2018,Urban,No,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,7,17,0
uniqueid_155,Kenya,2018,Urban,Yes,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,1,20,0
uniqueid_156,Kenya,2018,Rural,Yes,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,1,30,0
uniqueid_157,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,1,38,0
uniqueid_158,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,8,28,0
uniqueid_159,Kenya,2018,Rural,No,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,50,0
uniqueid_160,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,7,40,1
uniqueid_161,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,1,62,0
uniqueid_162,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,4,40,0
uniqueid_163,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Self employed,7,44,0
uniqueid_164,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Self employed,4,25,0
uniqueid_165,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Farming and Fishing,5,59,0
uniqueid_166,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,6,36,1
uniqueid_167,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,7,60,0
uniqueid_168,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,No formal education,Formally employed Private,3,42,1
uniqueid_169,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,No formal education,Self employed,2,56,0
uniqueid_170,Kenya,2018,Urban,No,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,4,37,0
uniqueid_171,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,4,28,0
uniqueid_172,Kenya,2018,Rural,No,Female,Child,Single/Never Married,Primary education,Farming and Fishing,9,50,0
uniqueid_173,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,2,55,0
uniqueid_174,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Farming and Fishing,7,65,0
uniqueid_175,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,5,48,0
uniqueid_176,Kenya,2018,Urban,Yes,Female,Head of Household,Widowed,Primary education,Remittance Dependent,2,65,0
uniqueid_177,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Informally employed,7,55,0
uniqueid_178,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,5,31,0
uniqueid_179,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Remittance Dependent,2,55,0
uniqueid_180,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,6,44,0
uniqueid_181,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,3,72,0
uniqueid_182,Kenya,2018,Urban,No,Female,Child,Single/Never Married,Secondary education,Informally employed,3,18,0
uniqueid_183,Kenya,2018,Rural,Yes,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,4,26,0
uniqueid_184,Kenya,2018,Rural,Yes,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,1,53,0
uniqueid_185,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,3,28,0
uniqueid_186,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Tertiary education,Informally employed,8,34,0
uniqueid_187,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,4,55,0
uniqueid_188,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,2,48,0
uniqueid_189,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Informally employed,2,50,0
uniqueid_190,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,7,65,1
uniqueid_191,Kenya,2018,Urban,Yes,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,3,53,1
uniqueid_192,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,5,45,0
uniqueid_193,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Primary education,Informally employed,2,29,0
uniqueid_194,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,3,36,1
uniqueid_195,Kenya,2018,Rural,No,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,9,18,0
uniqueid_196,Kenya,2018,Rural,No,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,5,18,0
uniqueid_197,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Primary education,Self employed,7,33,1
uniqueid_198,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,4,25,0
uniqueid_199,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government,2,30,1
uniqueid_200,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,5,48,1
uniqueid_201,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,No formal education,Farming and Fishing,2,80,1
uniqueid_202,Kenya,2018,Urban,Yes,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,6,42,0
uniqueid_203,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,No formal education,Self employed,5,69,0
uniqueid_204,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,3,23,0
uniqueid_205,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Informally employed,2,67,0
uniqueid_206,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,2,58,0
uniqueid_207,Kenya,2018,Rural,Yes,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,6,27,0
uniqueid_208,Kenya,2018,Rural,Yes,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,1,42,1
uniqueid_209,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Government Dependent,5,80,0
uniqueid_210,Kenya,2018,Rural,No,Female,Parent,Widowed,No formal education,Informally employed,3,95,0
uniqueid_211,Kenya,2018,Rural,Yes,Female,Other relative,Single/Never Married,Secondary education,Informally employed,4,26,0
uniqueid_212,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent,3,38,0
uniqueid_213,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Informally employed,1,64,0
uniqueid_214,Kenya,2018,Urban,Yes,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,6,16,0
uniqueid_215,Kenya,2018,Urban,No,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,4,49,0
uniqueid_216,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Self employed,5,33,0
uniqueid_217,Kenya,2018,Urban,Yes,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed,4,35,0
uniqueid_218,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private,1,28,1
uniqueid_219,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,4,38,0
uniqueid_220,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,No formal education,Self employed,3,29,0
uniqueid_221,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,5,26,0
uniqueid_222,Kenya,2018,Rural,No,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent,1,17,0
uniqueid_223,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,36,0
uniqueid_224,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,3,28,1
uniqueid_225,Kenya,2018,Urban,No,Female,Parent,Single/Never Married,Secondary education,Dont Know/Refuse to answer,5,22,0
uniqueid_226,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent,1,65,0
uniqueid_227,Kenya,2018,Urban,No,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,1,54,0
uniqueid_228,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,4,66,1
uniqueid_229,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Primary education,Informally employed,3,54,0
uniqueid_230,Kenya,2018,Rural,No,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,3,70,0
uniqueid_231,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Informally employed,5,44,0
uniqueid_232,Kenya,2018,Urban,Yes,Male,Child,Single/Never Married,Secondary education,Informally employed,7,22,0
uniqueid_233,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing,3,53,1
uniqueid_234,Kenya,2018,Rural,Yes,Male,Child,Married/Living together,Primary education,Informally employed,7,28,0
uniqueid_235,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,8,42,0
uniqueid_236,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,5,24,0
uniqueid_237,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,3,40,1
